Manufacturer,Model,Price,Transmission,Power,EngineCC,Fuel,Male,Female,Total
Toyota,Camry,30.0062,3.2,115.4666667,2245.6,petrol,"17,905","3,510","22,217"
BMW,740i,115.533,8,250,2998,petrol,"18,972","2,441","22,200"
Fiat,Brava,17.22277778,4.888888889,70,1615.333333,petrol,"13,703","6,684","21,132"
Hyundai,Lantra,16.4455,4.666666667,78,1741,petrol,"15,988","4,610","21,066"
Mitsubishi,Galant,25.08266667,4.533333333,93.6,2127.333333,petrol,"15,790","3,344","19,695"
Peugeot,305,12.61125,4.5,56.25,1607.25,petrol,"14,344","4,462","19,323"
Audi,A4,57.92693548,6.161290323,149.7096774,2283.112903,petrol,"14,726","3,125","18,990"
Volkswagen,Beetle,33.25025,6.166666667,112.75,1475,petrol,"10,781","7,418","18,752"
Renault,9,11.49625,4.75,50.25,1507.5,petrol,"12,029","5,985","18,497"
Toyota,RAV4,43.54851613,1.35483871,137.7741935,2261.193548,petrol,"8,992","7,577","17,585"
Nissan,Prairie,21.407,4.5,72,1974,petrol,"11,815","4,766","17,179"
Mazda,MX-5,37.46857143,5.857142857,103.4285714,1718.571429,petrol,"8,350","7,351","16,849"
Datsun,Sunny,11.81928571,4.619047619,56.85714286,1520.952381,petrol,"11,138","5,228","16,764"
Fiat,Tempra,17.91985714,4.19047619,64.47619048,1759.190476,petrol,"12,837","3,489","16,738"
Peugeot,505,20.65665217,4.956521739,67,2234.26087,petrol,"12,349","3,472","16,671"
Kia,Pride,9.358333333,4.333333333,47,1324,petrol,"7,706","8,244","16,497"
Citroen,XM,36.35965,4.55,110.5,2345.1,petrol,"13,170","1,965","15,713"
Mitsubishi,Space,23.16515789,3.947368421,82.15789474,1817.315789,petrol,"9,923","4,812","15,665"
Ford,Scorpio,30.86290909,4.454545455,105.5454545,2458.909091,petrol,"12,595","1,431","14,434"
Toyota,Previa,43.08,4.666666667,105,2239.666667,petrol,"9,170","3,435","13,402"
Audi,Coupe,35.86943902,5.585365854,117.0243902,1980.634146,petrol,"10,672","2,143","13,251"
Ford,Galaxy,53.78571429,6,124.8571429,1855,diesel,"8,739","3,285","12,868"
Opel,Manta,11.9845625,4,69,1762.75,petrol,"10,231","2,275","12,722"
Subaru,Legacy,37.52210345,3.896551724,107.3793103,2084.37931,petrol,"8,553","3,042","12,682"
Suzuki,SJ,8.4656,4.6,41.4,1182.4,petrol,"7,139","4,924","12,412"
Skoda,120,3.3322,4.6,15.6,469.6,petrol,"7,990","3,519","11,727"
Subaru,Justy,11.745,5,51,998,petrol,"4,942","5,756","11,490"
Seat,Toledo,20.37,5.642857143,74.21428571,1324.357143,petrol,"9,044","2,141","11,477"
Ford,Maverick,29.151,5,89,2526.5,petrol,"7,911","2,575","10,862"
Ford,Probe,24.84,5,102,2244,petrol,"7,893","2,482","10,718"
Renault,18,12.84981818,4.636363636,57.36363636,1849.545455,petrol,"8,203","2,252","10,681"
Audi,90,28.379,4.6,91.6,2181.2,petrol,"8,161","1,700","10,171"
Mitsubishi,Lancer,23.01661538,4.730769231,90.88461538,1709.538462,petrol,"6,705","3,079","10,102"
Datsun,Cherry,8.400222222,4.333333333,44.55555556,1350,petrol,"5,962","3,883","10,086"
Fiat,Bravo,22.455,6,92.30769231,1466.307692,petrol,"6,079","3,242","9,664"
Nissan,Serena,22.95383333,5,67.33333333,1908.166667,petrol,"6,461","2,772","9,647"
Honda,Integra,17.5296,4.6,78.4,1549.8,petrol,"6,238","2,834","9,393"
Volkswagen,Vento,18.16715385,4.692307692,70.30769231,1932.153846,petrol,"6,859","1,792","9,102"
Toyota,Supra,81.295,8,250,2998,petrol,"7,420","1,296","8,939"
Daewoo,Espero,16.80266667,4.5,71,1764,petrol,"7,139","1,483","8,930"
Porsche,944,59.4905,5,137.5,2734.5,petrol,"6,915","1,485","8,697"
Mazda,121,13.191,5,51.33333333,1431.333333,petrol,"3,380","4,920","8,666"
Seat,Marbella,6.494,5,30,903,petrol,"3,132","5,101","8,486"
Subaru,Impreza,30.5976,1.8,97.6,1757.6,petrol,"5,407","2,072","8,116"
Porsche,911,158.7922667,7.466666667,293.5333333,3005.4,petrol,"6,878",788,"7,974"
Nissan,Terrano,37.01736842,4.736842105,97.57894737,2697.368421,diesel,"5,846","1,827","7,927"
Fiat,Regata,12.73581818,4.636363636,54,1559.181818,petrol,"5,756","1,893","7,821"
Alfa-Romeo,33,13.818,5,66,1351,petrol,"5,692","1,626","7,574"
Mazda,MX-3,22.127,5,83,1721.5,petrol,"3,801","3,355","7,563"
Volkswagen,Corrado,35.34,5,118,1781,petrol,"5,666","1,396","7,436"
Hyundai,Stellar,11.263,4.5,55,1597,petrol,"5,739","1,281","7,139"
Mitsubishi,Carisma,22.69,4.8,82.2,1773.7,petrol,"5,221","1,323","6,775"
Toyota,Tercel,9.999666667,4.333333333,49.33333333,1347.666667,petrol,"4,234","2,157","6,604"
Fiat,126,3.781,4,18,652,petrol,"2,538","3,763","6,476"
Opel,Kadett,13.31085714,4.089285714,53.33928571,1518.678571,petrol,"4,086","2,136","6,373"
Peugeot,605,35.25972727,4.727272727,104.6363636,2367.181818,petrol,"5,215",804,"6,249"
Volvo,960,40.7645,4.333333333,133.3333333,2634.222222,petrol,"5,027",807,"6,170"
Volvo,S40,35.28132353,5.176470588,113.3529412,2106.5,petrol,"4,622","1,070","6,053"
Fiat,Croma,34.33029412,5.588235294,105,1962.058824,diesel,"4,873","1,048","6,049"
Seat,Cordoba,17.31241935,4.967741935,66.35483871,1655.741935,petrol,"4,282","1,608","6,043"
Renault,Safrane,31.79107143,4.571428571,104.1428571,2211.071429,petrol,"5,030",641,"5,915"
Volvo,V40,35.81481651,6.293577982,117.4311927,1921.46789,petrol,"4,006","1,460","5,837"
Nissan,Silvia,21.01833333,4.666666667,66,1206,petrol,"4,442","1,269","5,836"
Datsun,Stanza,9.58,4.5,61.66666667,1668.333333,petrol,"4,004","1,493","5,634"
Skoda,130,6.895,5,46,1289,petrol,"3,893","1,590","5,594"
Suzuki,Baleno,17.587,4.083333333,73.08333333,1363.5,petrol,"3,585","1,797","5,533"
Alfa-Romeo,164,38.39725,4.75,131,2652.375,petrol,"4,649",592,"5,466"
Audi,A6,82.06090909,7.727272727,199.7272727,2790.454545,diesel,"4,457",628,"5,389"
